project,Popularity,Size,Community,Activity,Maturity,Repl. Msg (%),category
webmagic,577.5,4239.6666666667,40.8518518519,52.2777777778,722,100,Web libraries and frameworks
osmdroid,190.25,23313.6666666667,90.962962963,131.9444444444,2466,100,Non-web libraries and frameworks
elephant-bird,378,1616.3333333333,37.1066666667,30.66,1889,100,Non-web libraries and frameworks
nifty,143.75,4769.6666666667,105.5185185185,153.7777777778,1195,100,Non-web libraries and frameworks
bobo,68,5350.3333333333,82.8095238095,117.2142857143,1539,100,System Software
st-js,42.75,14327.3333333333,142.9230769231,207.8846153846,1520,100,Software tools
android-maven-plugin,382.5,15380.3333333333,78.57,17.855,2687,100,Software tools
logback,259.5,3342.6666666667,73.5921052632,72.3881578947,3312,100,Non-web libraries and frameworks
GLWallpaperService,71,16706.3333333333,13.6111111111,17.4166666667,835,100,Non-web libraries and frameworks
CLAVIN,63.75,2264.3333333333,18.4722222222,21.7083333333,935,100,Non-web libraries and frameworks
Yaaic,83.75,3137.3333333333,31.4035087719,37.6052631579,2275,100,Application
feign,213.5,12571.3333333333,26,25,1236,100,Web libraries and frameworks
NotePad,112,1521.3333333333,103.7555555556,148.1333333333,1249,100,Application
xssValidator,43.25,12677,43.4166666667,63.125,407,100,Application
photup,270.25,13978.3333333333,512,767.5,379,100,Application
red5-server,135.5,7548,62.5185185185,89.2777777778,634,100,System Software
selendroid,199.75,10823.6666666667,45.0303030303,45.5454545455,931,100,Non-web libraries and frameworks
jbox2d,88.5,4704,158.8484848485,232.7727272727,2793,100,Non-web libraries and frameworks
caffeine,75.75,3160,317.8888888889,473.8333333333,248,100,Non-web libraries and frameworks
functionaljava,173,18916,92.2988505747,123.9482758621,1756,100,Non-web libraries and frameworks
spring-security,529.75,147347,89.4307692308,101.6461538462,4174,100,Non-web libraries and frameworks
Jnario,45.5,14016.3333333333,1723.8333333333,2581.75,1161,100,Non-web libraries and frameworks
ErrorView,116.25,661.6666666667,25.3333333333,37,170,100,Non-web libraries and frameworks
tape,357,924.3333333333,11.7962962963,8.6944444444,1726,100,Non-web libraries and frameworks
java-apns,423.5,2194.3333333333,19.9487179487,16.9230769231,1964,100,Web libraries and frameworks
karyon,142.25,2055.6666666667,29.95,34.925,1250,100,Non-web libraries and frameworks
asynchbase,151.25,17596.3333333333,36.119047619,47.1785714286,1709,100,Non-web libraries and frameworks
parboiled,240.5,7825,105.6,153.4,1953,100,Software tools
spock,247,2067.3333333333,65.0144927536,86.0217391304,3083,100,Non-web libraries and frameworks
Android-Next,79,8462.6666666667,646.5,968.75,676,100,Non-web libraries and frameworks
jolokia,101,3512,89.2222222222,124.8333333333,1822,100,Web libraries and frameworks
httl,85.75,6240.3333333333,253.4444444444,377.1666666667,976,100,Software tools
twitter4j,676.25,113217,76.52,14.78,2982,100,Non-web libraries and frameworks
carrot2,82,121087.666666667,884,1324.5,4413,100,Application
fabric8,197.25,80861.6666666667,71.9696969697,69.4545454545,1590,100,Application
FBReaderJ,405.75,4309.6666666667,145.7849462366,203.1774193548,2874,100,Application
telescope,143.25,435.6666666667,12.1666666667,15.25,281,100,Application
play-pac4j,58,1582,8.303030303,6.9545454545,1011,100,Web libraries and frameworks
WizarDroid,49.5,399,13.7777777778,17.6666666667,923,100,Non-web libraries and frameworks
spring-elasticsearch,63.25,271,17.9047619048,23.3571428571,1141,100,Non-web libraries and frameworks
hibernate-memcached,54.75,970,19.7222222222,26.5833333333,2566,100,Non-web libraries and frameworks
restcountries,94.25,918.3333333333,23.2,32.3,550,100,Non-web libraries and frameworks
snappy,77,1538.3333333333,18.8333333333,24.25,1398,100,Non-web libraries and frameworks
changeloglib,194.25,666.6666666667,43.6666666667,63,664,100,Non-web libraries and frameworks
obd-java-api,51.25,2528,20.0555555556,24.0833333333,682,100,Non-web libraries and frameworks
spring,172,543.3333333333,22.8611111111,28.2916666667,1813,100,Non-web libraries and frameworks
fixture-factory,49.75,715.6666666667,22.6888888889,26.5333333333,1565,100,Software tools
java-api-wrapper,93.5,4329.6666666667,38.6666666667,54.5,1063,100,Non-web libraries and frameworks
elasticsearch-jdbc,346.25,15468.3333333333,25.5057471264,23.7586206897,1149,100,Non-web libraries and frameworks
simpletask-android,53.5,1076.6666666667,46.6923076923,63.5384615385,890,100,Application
spring-data-document-examples,75.75,15711.6666666667,145.4166666667,216.125,330,100,Application
hppc,58.75,1546.6666666667,518,776.5,1903,100,Non-web libraries and frameworks
cloudhopper-smpp,168.5,3249,57.0512820513,79.0769230769,1584,100,Non-web libraries and frameworks
memcached-session-manager,124.25,81057.3333333333,65.5476190476,91.3214285714,2318,100,Software tools
java,129.75,17519,117.5416666667,172.3125,910,100,Non-web libraries and frameworks
android-bankdroid,114,50818.6666666667,39.0540540541,40.0810810811,1916,100,Application
mapbox-android-sdk,202.5,4147.6666666667,44.9027777778,43.3541666667,640,100,System Software
java-memcached-client,183.25,3833.3333333333,45.7586206897,54.1379310345,2647,100,Non-web libraries and frameworks
swift,167.5,24153.3333333333,66.6666666667,90,1183,100,Non-web libraries and frameworks
ChatSecureAndroid,368.5,6755.6666666667,75.4623655914,97.6935483871,1949,100,Application
todo.txt-android,369,10347.3333333333,87.4230769231,118.1346153846,1377,100,Application
live-chat-engine,52,4021.3333333333,725.1111111111,1086.1666666667,122,100,Application
facebook4j,65.75,2702.3333333333,237.1111111111,351.1666666667,1045,100,Non-web libraries and frameworks
android-sqlite-asset-helper,415,512.3333333333,9.5,12.25,1093,100,Software tools
audio-wife,44.25,250.6666666667,47,70,184,100,Non-web libraries and frameworks
GoogleAuth,54.25,1344,12.4444444444,17.1666666667,1228,100,Non-web libraries and frameworks
MaterialSpinner,91.5,876.6666666667,20.6666666667,30,42,100,Application
thymeleaf-layout-dialect,55.25,241.3333333333,12.6666666667,16.5,1123,100,Web libraries and frameworks
jenkins-gitlab-merge-request-builder-plugin,77.5,486.3333333333,9.2857142857,3.4285714286,823,100,Application
Android-BitmapCache,265,426.3333333333,35.6666666667,52.5,398,100,Non-web libraries and frameworks
guava-retrying,56.75,1048.3333333333,14.2857142857,17.9285714286,1039,100,Non-web libraries and frameworks
multi-thread-context,64.25,696,47.1666666667,69.75,618,100,Non-web libraries and frameworks
material-menu,516,381.6666666667,28.1666666667,40.25,324,100,Non-web libraries and frameworks
liblinear-java,62,1224,27.3333333333,39,2469,100,Non-web libraries and frameworks
maven-gae-plugin,51.25,2155.6666666667,16.3095238095,17.4642857143,1660,100,Software tools
Android-Iconics,135.75,9135.3333333333,26.3333333333,36,293,100,Non-web libraries and frameworks
snappy-java,85.5,536.6666666667,15,13,1595,100,Application
netflix-graph,146.25,585.6666666667,81.6666666667,121.5,887,100,Non-web libraries and frameworks
Paginize,92.5,1100,171.6666666667,257,506,100,Non-web libraries and frameworks
webimageloader,38.25,3475.3333333333,85.2222222222,126.3333333333,305,100,Non-web libraries and frameworks
jasmine-maven-plugin,121.75,1872,19.9861111111,17.9791666667,1871,100,Software tools
jsonld-java,62.5,903,40.7450980392,52.6176470588,1183,100,Non-web libraries and frameworks
htmlelements,55.75,6348.3333333333,26.0769230769,32.6153846154,1042,100,Web libraries and frameworks
m2e-android,119.25,19969.3333333333,25.6111111111,29.4166666667,2072,100,Software tools
seyren,195.25,1363.6666666667,20.2183908046,15.8275862069,1197,100,Software tools
libgdx-contribs,51.25,1390,74.5,109.75,1020,100,Non-web libraries and frameworks
dynalink,48.25,142856.333333333,108.5555555556,161.3333333333,1667,100,Non-web libraries and frameworks
HearthStats.net-Uploader,64.5,660.6666666667,31.5,39.25,500,100,Application
spring-retry,45.5,2026.3333333333,52.6666666667,75.5,1421,100,Non-web libraries and frameworks
world,70,2274.3333333333,551,826,346,100,Application
v2ex-daily-android,129.5,695.3333333333,191.1666666667,285.75,375,100,Non-web libraries and frameworks
Transitions-Everywhere,224.25,1581,124.5555555556,185.3333333333,621,100,Non-web libraries and frameworks
EverMemo,162,2408.3333333333,406.6666666667,609.5,310,100,Application
librec,58.75,2680,236.1666666667,353.25,566,100,Non-web libraries and frameworks
pebble,52,3102,43.7380952381,58.6071428571,954,100,Non-web libraries and frameworks
prevayler,62.5,3565,83.8571428571,122.2857142857,4683,100,Non-web libraries and frameworks
floobits-intellij,30.5,3747,140.5,208.75,680,100,Software tools
AisenForAndroid,81.5,9552,647,970,313,100,Non-web libraries and frameworks
sdkexamples-android,112.5,6622.6666666667,85.8333333333,123.75,763,100,Application
BarcodeScanner,400.75,2825,39.9743589744,46.9615384615,1042,100,Application
wiremock,226,3146.3333333333,37.9195402299,42.3793103448,1394,100,Non-web libraries and frameworks
gwtbootstrap3,115.25,3322.3333333333,44.7444444444,52.1166666667,734,100,Software tools
elasticsearch-knapsack,85.25,5027.6666666667,146.5714285714,216.3571428571,904,100,Application
validator,53.5,9877.3333333333,60.2121212121,79.3181818182,3680,100,Application
TweetLanes,262.25,24084,81.5833333333,114.375,600,100,Application
MonsterHunter4UDatabase,54.25,8508.6666666667,110.7857142857,159.1785714286,315,100,System Software
metadata-extractor,62.75,3283.6666666667,196.9444444444,292.4166666667,4807,100,Non-web libraries and frameworks
suro,195.25,5703,112.2121212121,162.8181818182,1198,100,System Software
MozStumbler,190.75,32510.6666666667,42.6064257028,22.4096385542,776,100,Software tools
d2rq,57.75,5272.3333333333,122.1818181818,177.7727272727,3920,100,System Software
jacoco,139.75,3882.6666666667,110.3333333333,158.5,2187,100,Non-web libraries and frameworks
fast-serialization,124.75,16896.6666666667,289.7333333333,432.1,624,100,Software tools
enroscar,58.75,6569.6666666667,312.0666666667,465.6,1562,100,Software tools
spring-security-oauth,614.5,6387.3333333333,53.1896551724,50.7844827586,1800,100,Web libraries and frameworks
restx,102.75,8804.3333333333,129.0555555556,184.5833333333,810,100,Web libraries and frameworks
grpc-java,300.5,4797,76.6222222222,99.9333333333,225,100,Non-web libraries and frameworks
javaslang,86.25,7809.6666666667,145.8571428571,211.7857142857,567,100,Non-web libraries and frameworks
crash,134.25,35372.3333333333,102.7826086957,142.6739130435,2023,100,System Software
platform_dalvik,145.75,91886.3333333333,79.5901639344,88.8852459016,2451,100,System Software
openhab,781.25,42408.3333333333,144.6666666667,67,2008,100,Application
mongo-hadoop,387.25,14325.6666666667,27.0425531915,17.0638297872,1817,98.3050847458,Non-web libraries and frameworks
lwjgl,153.25,12936,261.141025641,378.7115384615,4753,97.4358974359,Non-web libraries and frameworks
sqoop-release,73,10672,211.9743589744,311.4615384615,1521,96.8085106383,System Software
java-driver,260.75,26854.6666666667,56.2768361582,54.9152542373,1106,96.5517241379,Application
robocode,67.25,4812,739.25,1106.875,5059,96.4912280702,Application
c3p0,140.75,3451,209.4,311.6,983,95.652173913,Non-web libraries and frameworks
powermock,83,6809.6666666667,245,363,2655,95.4545454545,Non-web libraries and frameworks
flyway,339.25,6716.3333333333,38.9385964912,39.4078947368,1879,95.2380952381,Application
joda-time,516.75,63930.6666666667,119.3047619048,161.4571428571,4266,95.2380952381,Non-web libraries and frameworks
zaproxy,104,20427,168.1666666667,233.25,1830,95.0617283951,Application
android-support-v4-googlemaps,70.25,9610,430,643.5,665,94.7368421053,Non-web libraries and frameworks
android-xbmcremote,198,9960.3333333333,162.5,233.75,1715,94.1176470588,Non-web libraries and frameworks
gs-collections,407,44912.3333333333,1322.7777777778,1979.6666666667,1251,93.5064935065,Non-web libraries and frameworks
pdfbox,97.5,35322.6666666667,995.1333333333,1490.2,2749,92.3076923077,Non-web libraries and frameworks
spring-integration,217.25,344459.666666667,152.5913978495,197.8870967742,2834,92.3076923077,Software tools
opencms-core,131.25,126092,643.5858585859,948.8787878788,5740,92.1951219512,Web libraries and frameworks
Terasology,432.25,17133.6666666667,145.1555555556,187.7333333333,1628,92.1568627451,Non-web libraries and frameworks
bc-java,113.25,18041,689.9565217391,1023.4347826087,924,91.6256157635,Application
activejdbc,90.5,5661.3333333333,61.431372549,83.6470588235,1849,90.9090909091,Non-web libraries and frameworks
google-api-java-client,100.25,3343.3333333333,52.1666666667,72.25,1839,90.9090909091,Non-web libraries and frameworks
args4j,121.5,191388,22.7971014493,22.6956521739,4332,90.9090909091,Non-web libraries and frameworks
groovy-eclipse,54.5,397704.333333333,7144.2307692308,10709.8461538462,2205,90.2131361462,Software tools
railo,98,22063.6666666667,940.0444444444,1402.5666666667,1896,90,Software tools
assertj-core,169.25,10074.6666666667,103.890625,123.8359375,1779,90,Non-web libraries and frameworks
pgjdbc,98.25,3901.3333333333,47.1904761905,42.7857142857,6573,90,Non-web libraries and frameworks
android-beacon-library,292.5,1245.6666666667,26.6470588235,31.4705882353,685,90,Non-web libraries and frameworks
togglz,61.5,11163,41.9215686275,54.3823529412,1314,90,Non-web libraries and frameworks
Smack,244,6450,124.9677419355,171.9516129032,4599,89.7058823529,Non-web libraries and frameworks
jackson-core,271.75,252804,52.3888888889,66.5833333333,1335,89.4736842105,Non-web libraries and frameworks
zk,85.5,945807,342.5784313725,496.8676470588,3382,87.7142857143,Web libraries and frameworks
android_frameworks_base,395.25,84429.3333333333,295.1312056738,395.6968085106,2493,87.6530612245,Non-web libraries and frameworks
TwelveMonkeys,87.25,107073.666666667,379.5,564.25,2178,87.5,Non-web libraries and frameworks
languagetool,167.25,4447.6666666667,107.3854166667,145.078125,4477,87.5,Software tools
spring-android,209.75,8463.6666666667,267.6666666667,398.5,1734,87.0967741935,Non-web libraries and frameworks
freemarker,131.75,9670.6666666667,560.5,837.75,1986,86.7256637168,Non-web libraries and frameworks
ormlite-core,89.5,8534.3333333333,339.4,506.6,1709,86.6666666667,Non-web libraries and frameworks
keepassdroid,209.5,11166.6666666667,83.0666666667,114.6,2277,86.6666666667,Non-web libraries and frameworks
spring-data-mongodb,225.75,28812.3333333333,76.9316239316,95.8974358974,1849,86.5384615385,Software tools
hudson-2.x,59.25,87945.6666666667,234.0333333333,336.05,2355,86.4768683274,System Software
geoserver,333.25,19185.3333333333,179.6783333333,169.5175,1525,86.432160804,System Software
logstash-logback-encoder,90.25,9831,25.2525252525,21.3787878788,967,86.3636363636,Non-web libraries and frameworks
shiro,90.25,9005.3333333333,971.8333333333,1456.75,3559,85.7142857143,Application
JavaHamcrest,203.5,10528,41.7179487179,56.0769230769,3398,85.7142857143,Non-web libraries and frameworks
enunciate,81,93944.6666666667,205.0980392157,299.1470588235,3354,85.7142857143,Web libraries and frameworks
hibernate-orm,716.75,40224,198.47,197.705,2974,85.0187265918,Non-web libraries and frameworks
davdroid,176.25,92453,151.8333333333,222.75,691,84.6153846154,Application
OpenIAB,161.25,8655,21.6923076923,19.5384615385,834,84.6153846154,Non-web libraries and frameworks
Applied-Energistics-2,122.25,6783.6666666667,136.7070707071,188.5606060606,601,84.6153846154,Application
servo,283.25,5103,37.1212121212,44.6818181818,1335,84.6153846154,Application
spring-data-commons,101.25,69099.3333333333,74.6,96.9,1896,84.6153846154,Software tools
jmeter,112.25,20913,1251.5,1875.25,6195,84.4444444444,Application
zookeeper,519.5,18538.3333333333,359.125,534.6875,2634,84.375,Software tools
jPOS,91.5,7146.6666666667,164.8333333333,234.25,6128,84.2105263158,Application
thymeleaf,132.75,4980,142.1515151515,207.7272727273,1329,84,Web libraries and frameworks
restfb,132.5,4777.3333333333,39.2638888889,46.8958333333,2004,83.3333333333,Non-web libraries and frameworks
spring-data-rest,156.25,13799.6666666667,46.4761904762,55.7142857143,1261,83.3333333333,Non-web libraries and frameworks
platform_frameworks_support,259,22148.6666666667,188.8412698413,262.2619047619,1656,83.0508474576,Non-web libraries and frameworks
openwayback,62.75,64428,103.2361111111,142.8541666667,3586,82.3529411765,Software tools
soot,136.25,332761,387.9925925926,559.4888888889,6798,82.3529411765,Non-web libraries and frameworks
OG-Platform,114.5,187441.333333333,1321.5609756098,1961.8414634146,2177,81.9919517103,Software tools
grails-core,628.75,8304.6666666667,87.45,31.175,3699,81.8181818182,Web libraries and frameworks
mapdb,545.5,263276,100.2916666667,138.4375,1099,81.4814814815,System Software
Openfire,271.25,72356.6666666667,211.3066666667,291.96,3954,81.3953488372,System Software
jclouds,186.75,50464.6666666667,153.49,130.235,2322,81.3793103448,Software tools
EhViewer,77.5,140840.333333333,2507.3333333333,3760.5,206,81.25,Application
GWTP,120.5,17022.6666666667,49,53,1993,80.8510638298,Web libraries and frameworks
mongo-java-driver,596,47034.6666666667,75.5974025974,74.8961038961,2411,80.8510638298,Non-web libraries and frameworks
hudson,714.5,120121,155.8983333333,33.8475,3064,80.7615230461,Software tools
gwt,176.75,31749.3333333333,638.8830409357,929.8245614035,3180,80.3819444444,Software tools
cursor-utils,59.75,2685,19.5333333333,26.8,236,80,Non-web libraries and frameworks
Java-Thread-Affinity,64.75,6462.6666666667,24.25,32.375,662,80,Application
gnucash-android,158.25,87926,34.1794871795,38.2692307692,1186,80,Application
subsonic,71.75,48995.3333333333,371,554.5,1120,80,Application
Subsonic,53.25,10915.3333333333,127.2222222222,184.8333333333,1120,80,Non-web libraries and frameworks
AxonFramework,125.5,49215,103.0990990991,136.1486486486,1994,79.1666666667,Non-web libraries and frameworks
liquibase,391.75,51311.6666666667,86.8516666667,30.2775,2307,78.75,System Software
operaprestodriver,59.5,34093,414.9814814815,613.4722222222,1743,78.5714285714,Non-web libraries and frameworks
playn,86.25,22592.3333333333,109.5517241379,149.8275862069,1670,78.125,Non-web libraries and frameworks
nifty-gui,54.75,5691,190.5714285714,275.3571428571,2686,78,Non-web libraries and frameworks
frames,54,173715,29.0666666667,38.6,1320,77.7777777778,Non-web libraries and frameworks
restlet-framework-java,145.25,12993.6666666667,247.7708333333,355.65625,3530,77.7777777778,Non-web libraries and frameworks
asterisk-java,85.5,19535,95.7738095238,129.6607142857,3457,77.5510204082,Non-web libraries and frameworks
calabash-android,398,15943.6666666667,76.7643678161,86.1465517241,1276,77.3195876289,Software tools
ps3mediaserver,177,5603.3333333333,61.7619047619,78.6428571429,2155,76.5853658537,System Software
slf4j,169,3208.3333333333,35.8468468468,35.2702702703,3731,76.4705882353,Software tools
jnr-ffi,59.25,248328.666666667,114.7333333333,164.6,2481,76.4705882353,Non-web libraries and frameworks
xwiki-platform,89.25,14647,319.4693877551,454.7040816327,3233,76.1310452418,Non-web libraries and frameworks
fanfoudroid,157,22010.6666666667,218.4666666667,325.2,1106,75.8620689655,Application
Resteasy,233.25,16323.3333333333,174.441314554,226.161971831,3099,75,Non-web libraries and frameworks
curator-apache,106,4002.6666666667,105.2894736842,138.9342105263,1499,75,Non-web libraries and frameworks
android-utils,50,488.6666666667,42.8333333333,63.25,167,75,Non-web libraries and frameworks
JSONassert,55.75,56598.3333333333,14.2666666667,16.4,1255,75,Non-web libraries and frameworks
crawljax,115.75,6842.6666666667,39.5555555556,44.3333333333,2806,75,Application
avaje-ebeanorm,81.75,60000,259.7866666667,377.18,1072,75,Non-web libraries and frameworks
legacy-jclouds,217.5,106634,233.7575757576,306.6363636364,1476,74.5283018868,Web libraries and frameworks
openmrs-core,411.25,48292.3333333333,103.7266666667,55.59,3394,73.7354085603,Web libraries and frameworks
vaadin,204.75,17792,244.9264705882,333.3897058824,3236,73.2899022801,Non-web libraries and frameworks
opennlp,49.5,2341,537.0833333333,803.625,1714,73.1707317073,Non-web libraries and frameworks
github-plugin,118.5,4364.6666666667,16.875,9.3125,2261,72.7272727273,Application
rest-assured,168.25,127958.666666667,97.2941176471,137.4411764706,1762,72.7272727273,Web libraries and frameworks
igv,65,284207.333333333,331.7962962963,488.6944444444,1726,72.7272727273,Application
xtext,73,129512.333333333,3590.0808080808,5368.6212121212,2660,72.1223021583,Non-web libraries and frameworks
tomcat70,95,24011.3333333333,1245.4814814815,1863.7222222222,3432,72.1052631579,System Software
